Country,Income_group,Code,Year,Cereal_energy_share,GDP,Population
Afghanistan,Low income,AFG,1994,75,NA,15455560
Afghanistan,Low income,AFG,1928,NA,NA,7419535
Afghanistan,Low income,AFG,1929,NA,NA,7099916
Afghanistan,Low income,AFG,1969,NA,NA,10494491
Afghanistan,Low income,AFG,1943,NA,NA,6953820
Afghanistan,Low income,AFG,2003,78,1235.81005859375,22645136
Afghanistan,Low income,AFG,2004,78,1200.27795410156,23553554
Afghanistan,Low income,AFG,1870,NA,NA,4142928
Afghanistan,Low income,AFG,1600,NA,NA,2500001
Afghanistan,Low income,AFG,1872,NA,NA,4184386
Afghanistan,Low income,AFG,1906,NA,NA,5195038
Afghanistan,Low income,AFG,700,NA,NA,2425001
Afghanistan,Low income,AFG,1990,NA,NA,10694804
Afghanistan,Low income,AFG,1838,NA,NA,3554487
Afghanistan,Low income,AFG,1993,75,NA,14003764
Afghanistan,Low income,AFG,1823,NA,NA,3324285
Afghanistan,Low income,AFG,1941,NA,NA,6765457
Afghanistan,Low income,AFG,1931,NA,NA,6715569
Afghanistan,Low income,AFG,1855,NA,NA,3844769
Afghanistan,Low income,AFG,1814,NA,NA,3280000
Afghanistan,Low income,AFG,1936,NA,NA,6642004
Afghanistan,Low income,AFG,1858,NA,NA,3902671
Afghanistan,Low income,AFG,0,NA,NA,1999997
Afghanistan,Low income,AFG,1914,NA,NA,7365181
Afghanistan,Low income,AFG,1875,NA,NA,4247357
Afghanistan,Low income,AFG,1834,NA,NA,3491585
Afghanistan,Low income,AFG,1848,NA,NA,3716745
Afghanistan,Low income,AFG,1951,NA,NA,7571542
Afghanistan,Low income,AFG,1950,NA,NA,7480464
Afghanistan,Low income,AFG,1970,NA,NA,10752973
Afghanistan,Low income,AFG,1942,NA,NA,6848816
Afghanistan,Low income,AFG,1984,NA,NA,10243689
Afghanistan,Low income,AFG,1826,NA,NA,3369101
Afghanistan,Low income,AFG,1400,NA,NA,1874998
Afghanistan,Low income,AFG,1829,NA,NA,3414520
Afghanistan,Low income,AFG,1871,NA,NA,4163604
Afghanistan,Low income,AFG,1818,NA,NA,3280000
Afghanistan,Low income,AFG,1819,NA,NA,3282935
Afghanistan,Low income,AFG,1803,NA,NA,3280000
Afghanistan,Low income,AFG,1989,NA,NA,10673172
Afghanistan,Low income,AFG,1821,NA,NA,3297661
Afghanistan,Low income,AFG,1971,NA,NA,11015853
Afghanistan,Low income,AFG,1862,NA,NA,3981200
Afghanistan,Low income,AFG,1992,74,NA,12057436
Afghanistan,Low income,AFG,1986,NA,NA,10448447
Afghanistan,Low income,AFG,1932,NA,NA,6642004
Afghanistan,Low income,AFG,1933,NA,NA,6642004
Afghanistan,Low income,AFG,1934,NA,NA,6642004
Afghanistan,Low income,AFG,1935,NA,NA,6642004
Afghanistan,Low income,AFG,1831,NA,NA,3445140
Afghanistan,Low income,AFG,1873,NA,NA,4205274
Afghanistan,Low income,AFG,1991,NA,NA,10745168
Afghanistan,Low income,AFG,1948,NA,NA,7503485
Afghanistan,Low income,AFG,1939,NA,NA,6662371
Afghanistan,Low income,AFG,1987,NA,NA,10322767
Afghanistan,Low income,AFG,1822,NA,NA,3309479
Afghanistan,Low income,AFG,1940,NA,NA,6703416
Afghanistan,Low income,AFG,1820,NA,NA,3288817
Afghanistan,Low income,AFG,1981,NA,NA,11155196
Afghanistan,Low income,AFG,1975,NA,NA,12157390
Afghanistan,Low income,AFG,1869,NA,NA,4122358
Afghanistan,Low income,AFG,1828,NA,NA,3399313
Afghanistan,Low income,AFG,1947,NA,NA,7390182
Afghanistan,Low income,AFG,1817,NA,NA,3280000
Afghanistan,Low income,AFG,1837,NA,NA,3538656
Afghanistan,Low income,AFG,1965,NA,NA,9565154
Afghanistan,Low income,AFG,1856,NA,NA,3863976
Afghanistan,Low income,AFG,1949,NA,NA,7624058
Afghanistan,Low income,AFG,1937,NA,NA,6642004
Afghanistan,Low income,AFG,1988,NA,NA,10383459
Afghanistan,Low income,AFG,1985,NA,NA,10512220
Afghanistan,Low income,AFG,1830,NA,NA,3429796
Afghanistan,Low income,AFG,1945,NA,NA,7168681
Afghanistan,Low income,AFG,1976,NA,NA,12425276
Afghanistan,Low income,AFG,1859,NA,NA,3922160
Afghanistan,Low income,AFG,1980,NA,NA,12486640
Afghanistan,Low income,AFG,1861,NA,NA,3961424
Afghanistan,Low income,AFG,1938,NA,NA,6642004
Afghanistan,Low income,AFG,1832,NA,NA,3460553
Afghanistan,Low income,AFG,1827,NA,NA,3384173
Afghanistan,Low income,AFG,1857,NA,NA,3883276
Afghanistan,Low income,AFG,1978,NA,NA,12938864
Afghanistan,Low income,AFG,1944,NA,NA,7060433
Afghanistan,Low income,AFG,1833,NA,NA,3476034
Afghanistan,Low income,AFG,1983,NA,NA,9951447
Afghanistan,Low income,AFG,1860,NA,NA,3941745
Afghanistan,Low income,AFG,1979,NA,NA,12986378
Afghanistan,Low income,AFG,1982,NA,NA,10088290
Afghanistan,Low income,AFG,1946,NA,NA,7278589
Afghanistan,Low income,AFG,1977,NA,NA,12687308
Albania,Upper middle income,ALB,1864,NA,NA,572378
Albania,Upper middle income,ALB,1863,NA,NA,566882
Albania,Upper middle income,ALB,1810,NA,NA,418099
Albania,Upper middle income,ALB,1862,NA,NA,561438
Albania,Upper middle income,ALB,1861,NA,NA,556046
Albania,Upper middle income,ALB,1976,NA,NA,2713564
Albania,Upper middle income,ALB,1860,NA,NA,550706
Albania,Upper middle income,ALB,1977,NA,NA,2774798
Albania,Upper middle income,ALB,1865,NA,NA,577928
Albania,Upper middle income,ALB,0,NA,NA,198405
Albania,Upper middle income,ALB,1882,NA,NA,680260
Albania,Upper middle income,ALB,2020,NA,13191.9521484375,2866850
Albania,Upper middle income,ALB,1973,NA,NA,2520442
Albania,Upper middle income,ALB,1975,NA,NA,2650128
Albania,Upper middle income,ALB,1866,NA,NA,583532
Albania,Upper middle income,ALB,1980,NA,NA,2941650
Albania,Upper middle income,ALB,1895,NA,NA,771964
Albania,Upper middle income,ALB,1978,NA,NA,2833317
Albania,Upper middle income,ALB,1894,NA,NA,764292
Albania,Upper middle income,ALB,1856,NA,NA,529853
Albania,Upper middle income,ALB,1974,NA,NA,2585457
Albania,Upper middle income,ALB,1893,NA,NA,756696
Albania,Upper middle income,ALB,200,NA,NA,198803
Albania,Upper middle income,ALB,1972,NA,NA,2455181
Albania,Upper middle income,ALB,-1000,NA,NA,119043
Albania,Upper middle income,ALB,1881,NA,NA,673785
Albania,Upper middle income,ALB,1981,NA,NA,2992391
Albania,Upper middle income,ALB,1979,NA,NA,2888764
Albania,Upper middle income,ALB,300,NA,NA,199001
Albania,Upper middle income,ALB,1855,NA,NA,524764
Albania,Upper middle income,ALB,1892,NA,NA,749176
Albania,Upper middle income,ALB,1854,NA,NA,519724
Albania,Upper middle income,ALB,1858,NA,NA,540179
Albania,Upper middle income,ALB,1986,NA,NA,3207129
Albania,Upper middle income,ALB,1925,NA,NA,974995
Albania,Upper middle income,ALB,1926,NA,NA,980104
Albania,Upper middle income,ALB,2008,41,9912.162109375,2951690
Albania,Upper middle income,ALB,1814,NA,NA,425563
Albania,Upper middle income,ALB,1867,NA,NA,589190
Albania,Upper middle income,ALB,400,NA,NA,199201
Albania,Upper middle income,ALB,1992,60,3264.82543945312,3303738
Albania,Upper middle income,ALB,1869,NA,NA,600661
Albania,Upper middle income,ALB,1857,NA,NA,534991
Albania,Upper middle income,ALB,1891,NA,NA,741792
Albania,Upper middle income,ALB,2010,41,10749.4814453125,2913402
Albania,Upper middle income,ALB,2019,NA,13656.5927734375,2873883
Albania,Upper middle income,ALB,1843,NA,NA,484542
Albania,Upper middle income,ALB,1844,NA,NA,486722
Albania,Upper middle income,ALB,1845,NA,NA,488912
Albania,Upper middle income,ALB,100,NA,NA,198604
Albania,Upper middle income,ALB,1884,NA,NA,693398
Albania,Upper middle income,ALB,1993,59,3598.8154296875,3300715
Albania,Upper middle income,ALB,1886,NA,NA,706789
Albania,Upper middle income,ALB,1859,NA,NA,545417
Albania,Upper middle income,ALB,1851,NA,NA,505377
Albania,Upper middle income,ALB,1983,NA,NA,3087904
Albania,Upper middle income,ALB,1871,NA,NA,612314
Albania,Upper middle income,ALB,1853,NA,NA,514733
Albania,Upper middle income,ALB,-2000,NA,NA,71426
Albania,Upper middle income,ALB,1849,NA,NA,498261
Albania,Upper middle income,ALB,1971,NA,NA,2389820
Albania,Upper middle income,ALB,1805,NA,NA,408945
Albania,Upper middle income,ALB,2009,41,10313.916015625,2930553
Albania,Upper middle income,ALB,1811,NA,NA,419953
Albania,Upper middle income,ALB,1815,NA,NA,427449
Albania,Upper middle income,ALB,1813,NA,NA,423684
Albania,Upper middle income,ALB,1994,58,3921.62060546875,3294001
Albania,Upper middle income,ALB,1868,NA,NA,594903
Albania,Upper middle income,ALB,1889,NA,NA,727425
Albania,Upper middle income,ALB,1890,NA,NA,734542
Albania,Upper middle income,ALB,2006,43,8568.5615234375,3003391
Albania,Upper middle income,ALB,2007,42,9150.1298828125,2976089
Albania,Upper middle income,ALB,1985,NA,NA,3171727
Albania,Upper middle income,ALB,2002,50,6753.890625,3123554
Albania,Upper middle income,ALB,1987,NA,NA,3237677
Albania,Upper middle income,ALB,1957,NA,NA,1549575
Albania,Upper middle income,ALB,1872,NA,NA,618209
Albania,Upper middle income,ALB,1812,NA,NA,421814
Albania,Upper middle income,ALB,1875,NA,NA,636206
Albania,Upper middle income,ALB,1816,NA,NA,429344
Albania,Upper middle income,ALB,1817,NA,NA,431248
Albania,Upper middle income,ALB,1982,NA,NA,3041188
Albania,Upper middle income,ALB,1996,53,4908.939453125,3271336
Albania,Upper middle income,ALB,1852,NA,NA,509789
Albania,Upper middle income,ALB,-3000,NA,NA,42855
Albania,Upper middle income,ALB,1880,NA,NA,667371
Albania,Upper middle income,ALB,2018,NA,13317.0927734375,2877019
Albania,Upper middle income,ALB,1956,NA,NA,1500625
Albania,Upper middle income,ALB,2003,48,7154.00537109375,3092993
Albania,Upper middle income,ALB,-10000,NA,NA,1199
Albania,Upper middle income,ALB,1846,NA,NA,491112
Albania,Upper middle income,ALB,-9000,NA,NA,1999
Albania,Upper middle income,ALB,1885,NA,NA,700062
Albania,Upper middle income,ALB,1883,NA,NA,686798
Albania,Upper middle income,ALB,-7000,NA,NA,5554
Albania,Upper middle income,ALB,1877,NA,NA,648493
Albania,Upper middle income,ALB,1984,NA,NA,3131731
Albania,Upper middle income,ALB,1870,NA,NA,606465
Albania,Upper middle income,ALB,1848,NA,NA,495541
Albania,Upper middle income,ALB,1969,NA,NA,2259797
Albania,Upper middle income,ALB,1970,NA,NA,2324733
Albania,Upper middle income,ALB,2017,NA,12770.9638671875,2879361
Albania,Upper middle income,ALB,2004,46,7580.138671875,3062629
Albania,Upper middle income,ALB,2005,44,8040.0927734375,3032636
Albania,Upper middle income,ALB,1873,NA,NA,624151
Albania,Upper middle income,ALB,1991,NA,3496.37451171875,3302087
Albania,Upper middle income,ALB,1928,NA,NA,990401
Albania,Upper middle income,ALB,1929,NA,NA,996604
Albania,Upper middle income,ALB,1888,NA,NA,720439
Albania,Upper middle income,ALB,1850,NA,NA,501490
Albania,Upper middle income,ALB,-4000,NA,NA,25713
Albania,Upper middle income,ALB,1998,52,4819.07470703125,3232185
Albania,Upper middle income,ALB,1999,53,5474.85791015625,3208265
Albania,Upper middle income,ALB,1824,NA,NA,444927
Albania,Upper middle income,ALB,1809,NA,NA,416246
Albania,Upper middle income,ALB,1955,NA,NA,1453732
Albania,Upper middle income,ALB,1958,NA,NA,1600986
Albania,Upper middle income,ALB,1760,NA,NA,368499
Albania,Upper middle income,ALB,1847,NA,NA,493321
Albania,Upper middle income,ALB,2013,NA,11361.2685546875,2887019
Albania,Upper middle income,ALB,2014,NA,11586.833984375,2884100
Albania,Upper middle income,ALB,1995,55,4471.60791015625,3284370
Albania,Upper middle income,ALB,600,NA,NA,199600
Albania,Upper middle income,ALB,1997,51,4400.31884765625,3253721
Albania,Upper middle income,ALB,1879,NA,NA,661018
Albania,Upper middle income,ALB,1878,NA,NA,654726
Albania,Upper middle income,ALB,1842,NA,NA,482372
Albania,Upper middle income,ALB,900,NA,NA,2e+05
Albania,Upper middle income,ALB,2000,52,5892.59033203125,3182027
Albania,Upper middle income,ALB,2001,51,6441.44970703125,3153615
Albania,Upper middle income,ALB,1200,NA,NA,2e+05
Albania,Upper middle income,ALB,1990,NA,4827.03466796875,3295073
Albania,Upper middle income,ALB,1961,NA,NA,1769076
Albania,Upper middle income,ALB,1962,NA,NA,1828234
Albania,Upper middle income,ALB,1963,NA,NA,1888302
Albania,Upper middle income,ALB,2015,NA,11878.4541015625,2882482
Albania,Upper middle income,ALB,1887,NA,NA,713582
Albania,Upper middle income,ALB,1968,NA,NA,2195474
Albania,Upper middle income,ALB,1966,NA,NA,2070694
Albania,Upper middle income,ALB,1808,NA,NA,414408
Albania,Upper middle income,ALB,1952,NA,NA,1326957
Albania,Upper middle income,ALB,1954,NA,NA,1409011
Albania,Upper middle income,ALB,1953,NA,NA,1366747
Albania,Upper middle income,ALB,1750,NA,NA,357083
Albania,Upper middle income,ALB,1909,NA,NA,880526
Albania,Upper middle income,ALB,1600,NA,NA,2e+05
Albania,Upper middle income,ALB,1927,NA,NA,985239
Albania,Upper middle income,ALB,2021,NA,NA,2854710
Albania,Upper middle income,ALB,1964,NA,NA,1949020
Albania,Upper middle income,ALB,500,NA,NA,199400
Albania,Upper middle income,ALB,1820,NA,NA,437026
Albania,Upper middle income,ALB,700,NA,NA,199799
Albania,Upper middle income,ALB,1823,NA,NA,442934
Albania,Upper middle income,ALB,1807,NA,NA,412579
Albania,Upper middle income,ALB,1967,NA,NA,2132447
Albania,Upper middle income,ALB,1000,NA,NA,2e+05
Albania,Upper middle income,ALB,1100,NA,NA,2e+05
Albania,Upper middle income,ALB,1826,NA,NA,448940
Albania,Upper middle income,ALB,1914,NA,NA,913173
Albania,Upper middle income,ALB,1874,NA,NA,630149
Albania,Upper middle income,ALB,1960,NA,NA,1711189
Albania,Upper middle income,ALB,1930,NA,NA,1003863
Albania,Upper middle income,ALB,1700,NA,NA,299999
Albania,Upper middle income,ALB,1876,NA,NA,642320
Albania,Upper middle income,ALB,2016,NA,12291.859375,2881064
Albania,Upper middle income,ALB,1841,NA,NA,480211
Albania,Upper middle income,ALB,800,NA,NA,2e+05
Albania,Upper middle income,ALB,1822,NA,NA,440950
Albania,Upper middle income,ALB,1949,NA,NA,1239906
Albania,Upper middle income,ALB,1945,NA,NA,1177753
Albania,Upper middle income,ALB,1908,NA,NA,872955
Albania,Upper middle income,ALB,1300,NA,NA,2e+05
Albania,Upper middle income,ALB,1959,NA,NA,1655022
Albania,Upper middle income,ALB,2011,41,11052.7939453125,2900660
Albania,Upper middle income,ALB,-8000,NA,NA,3332
Albania,Upper middle income,ALB,1918,NA,NA,937735
Albania,Upper middle income,ALB,-6000,NA,NA,9256
Albania,Upper middle income,ALB,-5000,NA,NA,15428
Albania,Upper middle income,ALB,1806,NA,NA,410758
Albania,Upper middle income,ALB,1951,NA,NA,1289175
Albania,Upper middle income,ALB,1948,NA,NA,1221056
Albania,Upper middle income,ALB,1924,NA,NA,969914
Albania,Upper middle income,ALB,1821,NA,NA,438981
Albania,Upper middle income,ALB,1825,NA,NA,446929
Albania,Upper middle income,ALB,1898,NA,NA,795445
Albania,Upper middle income,ALB,1400,NA,NA,2e+05
Albania,Upper middle income,ALB,1915,NA,NA,919317
Albania,Upper middle income,ALB,2012,NA,11227.966796875,2892191
Albania,Upper middle income,ALB,1989,NA,NA,3282187
Albania,Upper middle income,ALB,1818,NA,NA,433159
Albania,Upper middle income,ALB,1931,NA,NA,1012195
Albania,Upper middle income,ALB,1933,NA,NA,1032142
Albania,Upper middle income,ALB,1921,NA,NA,954600
Albania,Upper middle income,ALB,1922,NA,NA,959829
Albania,Upper middle income,ALB,1934,NA,NA,1042776
Albania,Upper middle income,ALB,1947,NA,NA,1206448
Albania,Upper middle income,ALB,1740,NA,NA,345666
Albania,Upper middle income,ALB,1897,NA,NA,787540
Albania,Upper middle income,ALB,1910,NA,NA,887729
Albania,Upper middle income,ALB,1899,NA,NA,803288
Albania,Upper middle income,ALB,1916,NA,NA,925502
Albania,Upper middle income,ALB,1917,NA,NA,931729
Albania,Upper middle income,ALB,1833,NA,NA,463271
Albania,Upper middle income,ALB,1834,NA,NA,465356
Albania,Upper middle income,ALB,1840,NA,NA,478060
Albania,Upper middle income,ALB,1819,NA,NA,435086
Albania,Upper middle income,ALB,1932,NA,NA,1021616
Albania,Upper middle income,ALB,1950,NA,NA,1252587
Albania,Upper middle income,ALB,1923,NA,NA,964858
Albania,Upper middle income,ALB,1896,NA,NA,779713
Albania,Upper middle income,ALB,1944,NA,NA,1163663
Albania,Upper middle income,ALB,1937,NA,NA,1075341
Albania,Upper middle income,ALB,1835,NA,NA,467449
Albania,Upper middle income,ALB,1500,NA,NA,2e+05
Albania,Upper middle income,ALB,1988,NA,NA,3263019
Albania,Upper middle income,ALB,1790,NA,NA,402750
Albania,Upper middle income,ALB,1919,NA,NA,943550
Albania,Upper middle income,ALB,1965,NA,NA,2009793
Albania,Upper middle income,ALB,1839,NA,NA,475919
Albania,Upper middle income,ALB,1837,NA,NA,471665
Albania,Upper middle income,ALB,1803,NA,NA,405343
Albania,Upper middle income,ALB,1720,NA,NA,322833
Albania,Upper middle income,ALB,1730,NA,NA,334250
Albania,Upper middle income,ALB,1935,NA,NA,1053520
Albania,Upper middle income,ALB,1936,NA,NA,1064375
Albania,Upper middle income,ALB,1836,NA,NA,469552
Albania,Upper middle income,ALB,1912,NA,NA,901008
Albania,Upper middle income,ALB,1770,NA,NA,379916
Albania,Upper middle income,ALB,1830,NA,NA,457074
Albania,Upper middle income,ALB,1903,NA,NA,834010
Albania,Upper middle income,ALB,1904,NA,NA,841658
Albania,Upper middle income,ALB,1920,NA,NA,949173
Albania,Upper middle income,ALB,1802,NA,NA,403554
Albania,Upper middle income,ALB,1905,NA,NA,849375
Albania,Upper middle income,ALB,1941,NA,NA,1122787
Albania,Upper middle income,ALB,1804,NA,NA,407140
